sartorius	Sartorius	File:Sartorius-Logo-2020.svg	Public domain	Sartorius AG	img/logo-sartorius.org&utm_campaign=imageinfo&utm_content=original (2184B)
danaher	Danaher	File:Danaher Corporation logo.svg	Public domain	KarimKoueider	img/logo-danaher.org&utm_campaign=imageinfo&utm_content=original (7268B)
cytiva	Cytiva	File:Cytiva.svg	Public domain	Cytiva company	img/logo-cytiva.org&utm_campaign=imageinfo&utm_content=original (3787B)
merck	Merck KGaA	File:Logo Merck KGaA 2015.svg	Public domain	Unknown authorUnknown author (Merck KGaA)	img/logo-merck.org&utm_campaign=imageinfo&utm_content=original (3569B)
eppendorf	Eppendorf	File:Eppendorf-Logo.svg	Public domain	Eppendorf AG	img/logo-eppendorf.org&utm_campaign=imageinfo&utm_content=original (4616B)
getinge	Getinge	File:Getinge.svg	Public domain	Getinge	img/logo-getinge.org&utm_campaign=imageinfo&utm_content=original (5062B)
repligen	Repligen	File:Repligen Logo.svg	Public domain	Repligen	img/logo-repligen.org&utm_campaign=imageinfo&utm_content=original (3340B)
ginkgo	Ginkgo Bioworks	File:Ginkgo Bioworks logo.svg	Public domain	Ginkgo Bioworks Holdings, Inc.	img/logo-ginkgo.org&utm_campaign=imageinfo&utm_content=original (22399B)
bayer	Bayer	File:Bayer Logo.svg	Public domain	Lordoftheoats at en.wikipedia	img/logo-bayer.org&utm_campaign=imageinfo&utm_content=original (171141B)
basf	BASF	File:BASF-Logo bw.svg	Public domain	The original uploader was Afrank99 at German Wikipedia.: we 	img/logo-basf.org&utm_campaign=imageinfo&utm_content=original (12696B)
boehringer	Boehringer Ingelheim	File:Boehringer Ingelheim Logo.svg	Public domain	Boehringer Ingelheim Pharma GmbH & Co. KG	img/logo-boehringer.org&utm_campaign=imageinfo&utm_content=original (9410B)
terumo	Terumo	File:Terumo.svg	Public domain	Kopiersperre (talk)	img/logo-terumo.org&utm_campaign=imageinfo&utm_content=original (4183B)
corteva	Corteva	File:Corteva-logo.webp	Public domain		img/logo-corteva.org&utm_campaign=imageinfo&utm_content=original (4804B)
thermofisher	Thermo Fisher Scientific	File:Thermo Fisher Scientific logo.svg	Public domain	Thermo Fisher Scientific	img/logo-thermofisher.org&utm_campaign=imageinfo&utm_content=original (9857B)
